code,province,basin,biome,edition,geometry_status
BERS,North Pacific epicontinental sea,Pacific,Polar,classic 56-province reference,OSW non-metric cartogram
PSAW,Western Pacific subarctic gyres,Pacific,Westerlies,classic 56-province reference,OSW non-metric cartogram
NPPF,North Pacific polar front,Pacific,Westerlies,classic 56-province reference,OSW non-metric cartogram
PSAE,Eastern Pacific subarctic gyres,Pacific,Westerlies,classic 56-province reference,OSW non-metric cartogram
ALSK,Alaska coastal downwelling,Pacific,Coastal,classic 56-province reference,OSW non-metric cartogram
KURO,Kuroshio Current,Pacific,Westerlies,classic 56-province reference,OSW non-metric cartogram
NPSW,Northwest Pacific subtropical,Pacific,Westerlies,classic 56-province reference,OSW non-metric cartogram
NPSE,Northeast Pacific subtropical,Pacific,Westerlies,classic 56-province reference,OSW non-metric cartogram
CCAL,Coastal California Current,Pacific,Coastal,classic 56-province reference,OSW non-metric cartogram
CHIN,China Sea,Pacific,Coastal,classic 56-province reference,OSW non-metric cartogram
NPTG,North Pacific tropical gyre,Pacific,Trades,classic 56-province reference,OSW non-metric cartogram
PNEC,North Pacific equatorial countercurrent,Pacific,Trades,classic 56-province reference,OSW non-metric cartogram
CAMR,Central American coast,Pacific,Coastal,classic 56-province reference,OSW non-metric cartogram
SUND,Sunda–Arafura shelves,Pacific,Coastal,classic 56-province reference,OSW non-metric cartogram
WARM,Western Pacific warm pool,Pacific,Trades,classic 56-province reference,OSW non-metric cartogram
PEQD,Pacific equatorial divergence,Pacific,Trades,classic 56-province reference,OSW non-metric cartogram
HUMB,Humboldt Current coast,Pacific,Coastal,classic 56-province reference,OSW non-metric cartogram
AUSE,East Australian coast,Pacific,Coastal,classic 56-province reference,OSW non-metric cartogram
ARCH,Archipelagic deep basins,Pacific,Trades,classic 56-province reference,OSW non-metric cartogram
SPSG,South Pacific gyre,Pacific,Trades,classic 56-province reference,OSW non-metric cartogram
NEWZ,New Zealand coast,Pacific,Coastal,classic 56-province reference,OSW non-metric cartogram
TASM,Tasman Sea,Pacific,Westerlies,classic 56-province reference,OSW non-metric cartogram
OCAL,Oceanic California Current,Pacific,Trades,classic 56-province reference,OSW non-metric cartogram
REDS,Red Sea and Persian Gulf,Indian,Coastal,classic 56-province reference,OSW non-metric cartogram
IND W,Western India coast,Indian,Coastal,classic 56-province reference,OSW non-metric cartogram
ARAB,Northwest Arabian Sea upwelling,Indian,Westerlies,classic 56-province reference,OSW non-metric cartogram
MONS,Indian monsoon gyre,Indian,Trades,classic 56-province reference,OSW non-metric cartogram
IND E,Eastern India coast,Indian,Coastal,classic 56-province reference,OSW non-metric cartogram
ISSG,Indian South subtropical gyre,Indian,Trades,classic 56-province reference,OSW non-metric cartogram
EAFR,East African coast,Indian,Coastal,classic 56-province reference,OSW non-metric cartogram
AUSW,Western Australian and Indonesian coast,Indian,Coastal,classic 56-province reference,OSW non-metric cartogram
ARCT,Atlantic Arctic,Atlantic,Polar,classic 56-province reference,OSW non-metric cartogram
SARC,Atlantic sub-Arctic,Atlantic,Polar,classic 56-province reference,OSW non-metric cartogram
NECS,Northeast Atlantic shelves,Atlantic,Coastal,classic 56-province reference,OSW non-metric cartogram
NWCS,Northwest Atlantic shelves,Atlantic,Coastal,classic 56-province reference,OSW non-metric cartogram
NADR,North Atlantic Drift,Atlantic,Westerlies,classic 56-province reference,OSW non-metric cartogram
GFST,Gulf Stream,Atlantic,Westerlies,classic 56-province reference,OSW non-metric cartogram
NAST E,Northeast Atlantic subtropical gyre,Atlantic,Westerlies,classic 56-province reference,OSW non-metric cartogram
NAST W,Northwest Atlantic subtropical gyre,Atlantic,Westerlies,classic 56-province reference,OSW non-metric cartogram
MEDI,Mediterranean Sea,Atlantic,Westerlies,classic 56-province reference,OSW non-metric cartogram
CNRY,Canary Current coast,Atlantic,Coastal,classic 56-province reference,OSW non-metric cartogram
NATR,North Atlantic tropical gyre,Atlantic,Trades,classic 56-province reference,OSW non-metric cartogram
CARB,Caribbean,Atlantic,Trades,classic 56-province reference,OSW non-metric cartogram
GUIA,Guianas coast,Atlantic,Coastal,classic 56-province reference,OSW non-metric cartogram
WTRA,Western tropical Atlantic,Atlantic,Trades,classic 56-province reference,OSW non-metric cartogram
ETRA,Eastern tropical Atlantic,Atlantic,Trades,classic 56-province reference,OSW non-metric cartogram
GUIN,Guinea Current coast,Atlantic,Coastal,classic 56-province reference,OSW non-metric cartogram
SATL,South Atlantic gyre,Atlantic,Trades,classic 56-province reference,OSW non-metric cartogram
BRAZ,Brazil Current coast,Atlantic,Coastal,classic 56-province reference,OSW non-metric cartogram
BENG,Benguela Current coast,Atlantic,Coastal,classic 56-province reference,OSW non-metric cartogram
FKLD,Southwest Atlantic shelves,Atlantic,Coastal,classic 56-province reference,OSW non-metric cartogram
SSTC,South subtropical convergence,Southern,Westerlies,classic 56-province reference,OSW non-metric cartogram
SANT,Subantarctic water ring,Southern,Westerlies,classic 56-province reference,OSW non-metric cartogram
ANTA,Antarctic,Southern,Polar,classic 56-province reference,OSW non-metric cartogram
APLR,Austral polar,Southern,Polar,classic 56-province reference,OSW non-metric cartogram
BPLR,Boreal polar,Arctic,Polar,classic 56-province reference,OSW non-metric cartogram
