region_code,state_code,state,supported_cells,cross_season_alignment,maximum_seasonal_turn_degrees
AAP,ARCT,Atlantic Arctic,6,0.9548571052191447,43.35809684184605
AAP,BPLR,Boreal polar,15,0.9313585075843833,57.09282362963776
AAP,SARC,Atlantic sub-Arctic,9,0.44134449024108663,176.69590092588507
NPP,BERS,North Pacific epicontinental sea,9,0.9634689732158681,38.47238572022111
ANP,ANTA,Antarctic,25,0.9953995099195354,12.372747829969747
ANP,APLR,Austral polar,15,0.9953520855994114,14.29166216647463
NPW,KURO,Kuroshio Current,10,0.636031129006695,146.63184156910594
NPW,NPPF,North Pacific polar front,12,0.9730153351547747,33.67871704656333
NPW,NPSE,Northeast Pacific subtropical,9,0.26835743692836667,140.43592207289447
NPW,NPSW,Northwest Pacific subtropical,14,0.5468841051224022,126.80004473776708
NPW,PSAE,Eastern Pacific subarctic gyres,8,0.9577980559418913,44.57217887473262
NPW,PSAW,Western Pacific subarctic gyres,11,0.7262023924485012,121.14680951791696
TAW,TASM,Tasman Sea,13,0.43315816849099137,167.50631524419288
PT,ARCH,Archipelagic deep basins,5,0.4037181437010757,161.88166383880687
PT,NPTG,North Pacific tropical gyre,27,0.46759209637498,173.55976115810736
PT,PEQD,Pacific equatorial divergence,20,0.9773341380619793,34.34815299606846
PT,PNEC,North Pacific equatorial countercurrent,19,0.527770907334371,170.1845672043089
PT,SPSG,South Pacific gyre,47,0.987383246624815,24.172966174208483
PT,WARM,Western Pacific warm pool,18,0.47620056327960736,172.0866165571377
OCT,OCAL,Oceanic California Current,4,0.8839038439671814,74.08161650812688
EPC,ALSK,Alaska coastal downwelling,2,0.8340763185158677,91.49885121644411
EPC,CAMR,Central American coast,14,0.6582307360081455,128.1703141649076
EPC,CCAL,Coastal California Current,6,0.5230826939873626,129.65374266591834
EPC,HUMB,Humboldt Current coast,27,0.9977182182440446,10.774742592099786
WPC,CHIN,China Sea,11,0.8864682403290305,75.11786258155946
WPC,SUND,Sunda–Arafura shelves,13,0.9473811087934739,52.06120625154249
SWPC,AUSE,East Australian coast,15,0.39454791587457694,171.70142681755178
SWPC,NEWZ,New Zealand coast,34,0.9896863084805035,20.331006269296616
NAW,GFST,Gulf Stream,5,0.45810048591581126,169.52113568593055
NAW,NADR,North Atlantic Drift,10,0.9626081290571874,44.0794092993809
NAW,NAST E,Northeast Atlantic subtropical gyre,8,0.2426016288787747,141.62243468218077
NAW,NAST W,Northwest Atlantic subtropical gyre,8,0.13062109938984118,162.9964651993252
MW,MEDI,Mediterranean Sea,6,0.8852533350430546,68.9788080540242
OAT,ETRA,Eastern tropical Atlantic,10,0.9920743253989539,20.404337234115353
OAT,NATR,North Atlantic tropical gyre,7,0.9896069965979534,21.023688508978704
OAT,SATL,South Atlantic gyre,25,0.9580071229982329,45.31839930220828
OAT,WTRA,Western tropical Atlantic,10,0.9384838189005289,48.83434152147583
CT,CARB,Caribbean,9,0.9533442673912852,42.97434586641403
NWAC,NWCS,Northwest Atlantic shelves,10,0.917923428342021,56.51278514298803
WAC,BRAZ,Brazil Current coast,11,0.5934471331303597,152.03286881755048
WAC,FKLD,Southwest Atlantic shelves,28,0.9695606539049151,33.03846655155249
WAC,GUIA,Guianas coast,4,0.9501662883275562,45.7970036677047
EAC,BENG,Benguela Current coast,14,0.9863465314486171,26.6900275178549
EAC,CNRY,Canary Current coast,5,0.9753293497606726,32.121748225374155
EAC,GUIN,Guinea Current coast,1,0.19673062363110516,157.9637730598546
EAC,NECS,Northeast Atlantic shelves,7,0.9973977621522873,11.00292789161902
ARW,ARAB,Northwest Arabian Sea upwelling,8,0.5932903983056252,156.72365451644094
IT,ISSG,Indian South subtropical gyre,29,0.35856289353582316,172.3311357215715
IT,MONS,Indian monsoon gyre,10,0.6607897785802954,131.8492935033108
AIC,EAFR,East African coast,22,0.9807151902986906,24.57052801429486
AIC,IND E,Eastern India coast,5,0.6724609710372135,128.34706147203093
AIC,IND W,Western India coast,7,0.026548791112103242,172.9337859882707
AIC,REDS,Red Sea and Persian Gulf,2,0.37659029449802217,171.5359543360373
SEIC,AUSW,Western Australian and Indonesian coast,19,0.35671231227221745,154.79682198966248
SW,SANT,Subantarctic water ring,27,0.9986372417320328,7.667293487644531
SW,SSTC,South subtropical convergence,34,0.990081694454221,22.262424271189516
