code,province,basin,biome,seed_longitude,seed_latitude,sampled_longitude,sampled_latitude,elevation_m,water_depth_m,cell_state,deepest_edition1_band,tid_code,tid_class,tid_definition,response_sha256,tid_response_sha256
ISSG,Indian South subtropical gyre,Indian,Trades,82,-27,82.0020833333333,-26.99791666666667,-4283,4283,wet,abyssopelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,e0b0b88af937d70cdcd13f0976018d608599e2d587946812b8fabc5ddc4bccd8,7c45736ec272229c1bd590962473f6e049c1193622d347532f65fa48f4c0302d
KURO,Kuroshio Current,Pacific,Westerlies,145,35,145.0020833333333,35.00208333333333,-5788,5788,wet,abyssopelagic,11,direct_measurement,multibeam direct measurement,922ddab07bcb27c15c9e1166873eed8ac65bab68ff2cd2bd59a887eb2e5c5247,86a8314e4b24353c57abc0bc1df613463b78a49b1f735e7a75b89ff37d51ae86
MEDI,Mediterranean Sea,Atlantic,Westerlies,17,36,17.00208333333333,36.00208333333333,-3584,3584,wet,bathypelagic,17,direct_measurement,combination of direct measurement methods,9070be96e2be12c8c41d6d22aeaf0276e825ffc3cbd5054f81316bd7e51b2f9d,5e5d356c236c6a283ee7f3b507e3d5563b8b08d18980cdd1a31510326ce95bac
MONS,Indian monsoon gyre,Indian,Trades,84,5,84.0020833333333,5.002083333333331,-4058,4058,wet,abyssopelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,0460fcbad03f2db8b5333809060753add3c5deb031b51e54ecd3ac9bcf0501af,d1b8b7001b2d0bdfe3359973f6f613f7812aac6032b793c7c9b665ea453e39cb
NADR,North Atlantic Drift,Atlantic,Westerlies,-30,47,-29.99791666666667,47.00208333333333,-3332,3332,wet,bathypelagic,11,direct_measurement,multibeam direct measurement,0cce2e65f07654d60da6983fbe37fa71d6f278eed4930df94a82f01dc3731f58,64d5a846ad08b13c34164dd587a6bf76b5998d31ec1eb64b54d9c5a04717dc65
NAST E,Northeast Atlantic subtropical gyre,Atlantic,Westerlies,-25,30,-24.99791666666667,30.00208333333333,-5421,5421,wet,abyssopelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,d8e11ebf223b8082263751ec3e7691829c28789238d9c1f2348c1009898ed006,a9dea13ea55a49cde811b16e817017f7c9b58083ea1ae2ec0bbacbec1de715a0
NAST W,Northwest Atlantic subtropical gyre,Atlantic,Westerlies,-55,28,-54.99791666666667,28.00208333333333,-5801,5801,wet,abyssopelagic,11,direct_measurement,multibeam direct measurement,b87a2a0094ace8bfb1c32bc7d6da706a7b5360d598d0f82ec8066d57fe2379b0,d7603e4027ce3f02b2d2de5adda419cc34f626a247d04280fbf3e221f46b101d
NATR,North Atlantic tropical gyre,Atlantic,Trades,-42,16,-41.99791666666667,16.00208333333333,-4794,4794,wet,abyssopelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,284f1d47450fba4a2556fb0be0a8a83d4d3183873817fb620462362b611670e2,f484f08b17f6f4f13bb09b7f46f3381a89eec291f947fa540281376424627949
NECS,Northeast Atlantic shelves,Atlantic,Coastal,2,55,2.0020833333333314,55.00208333333333,-25,25,wet,epipelagic,11,direct_measurement,multibeam direct measurement,e3f4b036aec730c385b0c79baa3449481fd3620d154c76649349acb775fe209b,6822ce62ffb34c9a43ad8e6cd89df9825bc71f31a77db1592b8dff0220639b70
NEWZ,New Zealand coast,Pacific,Coastal,174,-42,174.0020833333333,-41.99791666666667,21,,non_wet_seed,unavailable,0,land,land,fcd88908cfb6c4a9a5c17aa9fa400d82837a8ab6a33a86b1418af10ddc5fcd43,e936e099e58ad68ae288edcc520ea0482615e701fb14179422c00e26c53710de
NPPF,North Pacific polar front,Pacific,Westerlies,-175,42,-174.99791666666667,42.00208333333333,-6288,6288,wet,hadalpelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,4e9c82e9319032ed4da9fef96e7b6912477b744ddbc243f820d49c78f27fbef3,a47e71d0db10ccc21e6aaebbd21858b061cb59c791b7f2ffc986b5991a1be4b9
NPSE,Northeast Pacific subtropical,Pacific,Westerlies,-135,30,-134.99791666666667,30.00208333333333,-4366,4366,wet,abyssopelagic,11,direct_measurement,multibeam direct measurement,497d58e12bc4c0b55c4dc3c502c1019e96c978f45e8fee87a1697343772bc4cb,30394f94e0e02943d0759e3333e84af4dba27932959e3b2c56ebee39590666e4
NPSW,Northwest Pacific subtropical,Pacific,Westerlies,165,28,165.0020833333333,28.00208333333333,-5703,5703,wet,abyssopelagic,11,direct_measurement,multibeam direct measurement,5d0698da45c39afbbcaf55a41cf58f99ddbcfbe40fc84da3b8b892b95d4790d8,191ae734abd41d2857dc9289ebb1b33273745104a93145fbe0eae415acdf511e
NPTG,North Pacific tropical gyre,Pacific,Trades,-165,20,-164.99791666666667,20.00208333333333,-5030,5030,wet,abyssopelagic,11,direct_measurement,multibeam direct measurement,bad2a3828a9b1053cbe1b59795b72790f313f98ae87282238e5297e53eb726f0,a3aea02f970986f8e9be4f384d2e40cb037f3c11878e47e032fca150ed1db45e
NWCS,Northwest Atlantic shelves,Atlantic,Coastal,-58,48,-57.99791666666667,48.00208333333333,457,,non_wet_seed,unavailable,0,land,land,08a1ada32e9ab1435933fcb00868d965a695aa0740ff198855df9a8db509a17c,de5d425350de1f7b360cac7be4cc8f3c98958730a7ac0ced07bb782e1e3a81ec
OCAL,Oceanic California Current,Pacific,Trades,-132,40,-131.99791666666667,40.00208333333333,-4331,4331,wet,abyssopelagic,11,direct_measurement,multibeam direct measurement,5998b989dffbe3dc31ee8c724da830cce622ae62a3be1e871906091ef34fe410,6255dca2b94ca83ff8894e4a8c733465c4e4cd57ef97d24d6c5166c287e55be9
PEQD,Pacific equatorial divergence,Pacific,Trades,-115,0,-114.99791666666667,0.0020833333333314386,-3988,3988,wet,bathypelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,e77bc82270e7e0851e0fdf18788512d686872189ec44745060de34759223caf9,f782f24544f707571c77adb07d06b6e85328f4bdc37136d3b9d8419aa2844e7d
PNEC,North Pacific equatorial countercurrent,Pacific,Trades,-140,9,-139.99791666666667,9.002083333333331,-5086,5086,wet,abyssopelagic,44,indirect_or_interpolated,sounding-constrained grid with satellite-gravity guidance,00eba434ab64212e74d7a70cb4ac37d7b120edbd9008bb51bb2bebca41e06577,477699413752f7b52c8de5651403c14aef5a2d04846885f108ba4337710081b4
PSAE,Eastern Pacific subarctic gyres,Pacific,Westerlies,-145,49,-144.99791666666667,49.00208333333333,-4368,4368,wet,abyssopelagic,11,direct_measurement,multibeam direct measurement,085ba3a3a6538ef84c858862e755822b1db65c7c7b9e4e22db298c470d4b726f,300c886a2efe53a597cd7967e225a6eaad571ab8a0b1dc454557f99f848735da
PSAW,Western Pacific subarctic gyres,Pacific,Westerlies,160,48,160.0020833333333,48.00208333333333,-5464,5464,wet,abyssopelagic,11,direct_measurement,multibeam direct measurement,ab4c38229c62fe16f4ffc01cea236d2a45b6c68380be1eaa2bc52311cd56a3a2,6c872829252946bb28dcb3ab9fb57ee49d306a72001ba22c3a709b80c2a223e0
REDS,Red Sea and Persian Gulf,Indian,Coastal,43,18,43.00208333333333,18.00208333333333,2019,,non_wet_seed,unavailable,0,land,land,cc7f709820ffaf9d857286dfc7c158cdbb15d62ddc8036e8b4f81d14f2d19ae4,5bc5a7bc4b936ace9d2f00c12e6119ccfd2cf6a7ca6391d265db450bc455c9e5
SANT,Subantarctic water ring,Southern,Westerlies,95,-53,95.0020833333333,-52.99791666666667,-3915,3915,wet,bathypelagic,41,indirect_or_interpolated,computer-algorithm interpolation,6db7e9bf957b99e368540075286491d31fefaec9942f169f35c89801210a12c3,8913a93b766b210730bdd37aa90e579ba219d090bf36207dfb1fb01bec30fee3
SARC,Atlantic sub-Arctic,Atlantic,Polar,-28,60,-27.99791666666667,60.00208333333333,-1718,1718,wet,bathypelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,b17868920b8a461a2091503cf11a68f0e74ce7ad807dc12ebe40256bfa02daea,8f8d9389e4be48d469863e44adf54e565eea540e914f17a33bc5e65299460d10
SATL,South Atlantic gyre,Atlantic,Trades,-22,-25,-21.99791666666667,-24.99791666666667,-4912,4912,wet,abyssopelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,9c71928e9d9192fa58b691a363e2fb5863d4a947f1ec37c45e6f5e441193263b,6f127a95fbf6b79fab76025b7c3f76d47406ff5e1e4582ca57be6c5bb904c4fa
SPSG,South Pacific gyre,Pacific,Trades,-135,-28,-134.99791666666667,-27.99791666666667,-4095,4095,wet,abyssopelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,64e01bb02e0e4d00e28003c10fe971df5da8ec8594a18a08dea1a865886d9124,46a4c8ece6a7928fdb3c7e5e497fb7d0aeda17e9361b946d9103141c8a2a4882
SSTC,South subtropical convergence,Southern,Westerlies,20,-45,20.00208333333333,-44.99791666666667,-3894,3894,wet,bathypelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,9ecf7e363a63207e623adaf87f971266bef18a534c56e994b8449cb5a3a712fd,2074171526a403eaa8a6ec6bf0474595f8ea69a3cb9991fe036aecb3d28f82cb
SUND,Sunda–Arafura shelves,Pacific,Coastal,126,-5,126.0020833333333,-4.997916666666669,-3924,3924,wet,bathypelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,918eda3553dcd94a1a7e40cbf4e71f0dc412e522858ada7de6a55d677f7530d3,c708ad48ecaeaeef6795f67babd0eed3c070a977d57ccddf22593e0d17253034
TASM,Tasman Sea,Pacific,Westerlies,160,-38,160.0020833333333,-37.99791666666667,-4907,4907,wet,abyssopelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,5c06e0ddfbb3d9f2304ff9f3417cbf4917524b5ec76b579c127845ecb5901e5c,12b84ade176c4d65c35251f2a7f308cb6bb1338f6a25e47f92c1036e489a97ef
WARM,Western Pacific warm pool,Pacific,Trades,150,8,150.0020833333333,8.002083333333331,-3457,3457,wet,bathypelagic,11,direct_measurement,multibeam direct measurement,5f7295b463fd751f226d5da542cc25673f26d4481b4655c747bfdaf6a5ca4f10,3545a76370af21d7a88b0c6abc2e2603097148487c31f338130ea7c0470fe315
WTRA,Western tropical Atlantic,Atlantic,Trades,-35,3,-34.99791666666667,3.0020833333333314,-3813,3813,wet,bathypelagic,10,direct_measurement,singlebeam direct measurement,44d1a1549d3ba9fddd076d3410a9ef4a72452589a5bac80ef665411ff048ef13,003f9c9007d4ea3b1a2d459950893c92fd95c9017cdeb41802fcab7ff94d8a54
