code,province,basin,biome,seed_longitude,seed_latitude,sampled_longitude,sampled_latitude,elevation_m,water_depth_m,cell_state,deepest_edition1_band,tid_code,tid_class,tid_definition,response_sha256,tid_response_sha256
ALSK,Alaska coastal downwelling,Pacific,Coastal,-148,58,-147.99791666666667,58.00208333333333,-1961,1961,wet,bathypelagic,11,direct_measurement,multibeam direct measurement,f7413d8d4d368c2664a0a95972c3e1a2508f5a1a457aafbe07312c32d8907349,d7e8ce6650d92624342dd91fc5e157aae18133fccab7ed7de398718ff02cc362
ANTA,Antarctic,Southern,Polar,-110,-66,-109.99791666666667,-65.99791666666667,-4756,4756,wet,abyssopelagic,41,indirect_or_interpolated,computer-algorithm interpolation,7f4ef2615da833f8fa2031068e1aac34e2cb0590cb9d9126fc11791530b65bc5,9a942beb0721881039b2ddc9ab5708cdc1a3edb4444f558f667922cba7d8fe2c
APLR,Austral polar,Southern,Polar,155,-64,155.0020833333333,-63.99791666666667,-3088,3088,wet,bathypelagic,41,indirect_or_interpolated,computer-algorithm interpolation,e29513245c625252d8ea9adec768ac68836e0d70193ad9563078d89b8d6cb24f,c98a6446cf612c3555fafb5d2d8ed43406a888149f35e8529a466ddb4d9a3757
ARAB,Northwest Arabian Sea upwelling,Indian,Westerlies,59,17,59.00208333333333,17.00208333333333,-3625,3625,wet,bathypelagic,11,direct_measurement,multibeam direct measurement,4c7896cf92211fd3981439a8e2cf170442017f8af86a3479efe72d9061c3c397,2316229bfa77fc8ee1efe44a384249ee0840aa8cdf3e048a08476c2038de5d22
ARCH,Archipelagic deep basins,Pacific,Trades,140,-12,140.0020833333333,-11.997916666666669,-65,65,wet,epipelagic,70,mixed_or_unknown,pre-generated mixed-source grid,580aee887f04d5fc2a5bf628d07ea30ad467ad0865a1cd0fd84bd664c96dbed3,482f1d7c2bbbe309d816bc30aadeefb2e0bb4d5f4d8ce459ae068f9a0ccc272d
ARCT,Atlantic Arctic,Atlantic,Polar,-10,72,-9.997916666666669,72.00208333333333,-2330,2330,wet,bathypelagic,11,direct_measurement,multibeam direct measurement,5cd629c93ccdb23d5584f11ee111cf7bb17769b81144b5be14b53253b582e907,4cb6780e18bc08da359709dc2174d3a58ba13448f13d70f24c647ebae632c559
AUSE,East Australian coast,Pacific,Coastal,156,-25,156.0020833333333,-24.99791666666667,-4578,4578,wet,abyssopelagic,11,direct_measurement,multibeam direct measurement,e2b48f8624a4b27a75e61a85401279cac54ba9c1b5934216289f17870e9258fd,fd35adc7873b2c213dd87a5fdf15a5154ad9fa646df756232978866d8fc209a0
AUSW,Western Australian and Indonesian coast,Indian,Coastal,108,-25,108.0020833333333,-24.99791666666667,-3317,3317,wet,bathypelagic,11,direct_measurement,multibeam direct measurement,ef28c6cacd612d0fd1725ec0064b6b7dff5448d5d6b0186c00927c4cf9bead32,46069263bd4e7ced1cbdc19cfc9e4411ec29748b7768951929713871e98f4b5e
BENG,Benguela Current coast,Atlantic,Coastal,8,-24,8.002083333333331,-23.99791666666667,-4700,4700,wet,abyssopelagic,11,direct_measurement,multibeam direct measurement,aa84057c3a57c77ce2b433562599a5ed8a725042c27c2ee531f7e28fe466e27d,fcb7806f21a89853d68057b2be57e673ed2d746714512b032f0152bc8f4549a6
BERS,North Pacific epicontinental sea,Pacific,Polar,-170,58,-169.99791666666667,58.00208333333333,-74,74,wet,epipelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,a6641f0359fb1d661250dd215b38a0f70366ee79ff2cf41871bf22138e248d0e,fb22bc55dfea837e3be3f7c734de4a72fb720b7d493d5c3a34c7d9e6b43f8c61
BPLR,Boreal polar,Arctic,Polar,0,79,0.0020833333333314386,79.00208333333333,-2544,2544,wet,bathypelagic,11,direct_measurement,multibeam direct measurement,464529b6a908d5ca38e93b6d55b17a8e860258a49cca269ab3394694fc9afbfd,de9f887455aba0b5389f1c8bed468ef0a6e2684011d0486a71535e35ba0b84bb
BRAZ,Brazil Current coast,Atlantic,Coastal,-43,-25,-42.99791666666667,-24.99791666666667,-2049,2049,wet,bathypelagic,10,direct_measurement,singlebeam direct measurement,1b5ae075a36d518ed030dc78b1d7b841020555458655a135cd2a945182742be8,c55e5b912d721e8585927e2024fb9beaf7a5706b8ab1b407787b639c0e680761
CAMR,Central American coast,Pacific,Coastal,-92,10,-91.99791666666667,10.002083333333331,-3634,3634,wet,bathypelagic,11,direct_measurement,multibeam direct measurement,19cd3cf822992b4282dc0b7bc6e107d694a422419917e313a22b5aafbba6bb00,09a624561a07d8150199c13c2d6118f4896a761b34eacf6a36e611482e2dae17
CARB,Caribbean,Atlantic,Trades,-73,16,-72.99791666666667,16.00208333333333,-3520,3520,wet,bathypelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,77bc1a17e9e59d6a9f92ddccc429794604936c39018a2e923c794c6e784864e1,304cb92d025a319e7f1867a24e7563b03914e66de88efd2029fd75aa705baeb5
CCAL,Coastal California Current,Pacific,Coastal,-124,36,-123.99791666666667,36.00208333333333,-3933,3933,wet,bathypelagic,11,direct_measurement,multibeam direct measurement,b7fb298db41c3b272f3410576f92b29f6352aedabbd6159764eced7f8e291e8e,ed4dddde947b452de0dd41a5efac33c64e286c23059d84eb13aebebfc355b45b
CHIN,China Sea,Pacific,Coastal,122,24,122.0020833333333,24.00208333333333,-2947,2947,wet,bathypelagic,11,direct_measurement,multibeam direct measurement,d49a1e01fc197d3c5f108db41464236cb40f39c2728f8ef2a6a97aa8c08c2eaa,e46fda6412f689c81fe15ce8e57c88f320fc95ee713e5ea60e26f7ddf0161c45
CNRY,Canary Current coast,Atlantic,Coastal,-18,24,-17.99791666666667,24.00208333333333,-2483,2483,wet,bathypelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,88d7ee818d43f710f319706d1f35f79585fe5b964739cb65275d4ab7ded36ef8,75c480d904c2eb993707ad9c6b4fb84f5b742efd2d133741cd4768317b39ed7c
EAFR,East African coast,Indian,Coastal,48,-12,48.00208333333333,-11.997916666666669,-1574,1574,wet,bathypelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,a6682b17a0d209803c67e9c8c3862fd1acd402bc747b44fab2cb8b3c4cff1e71,9b86a5e24f1b23316f58914119b338140b4748a39d4d68f6bfd9129f37911a54
ETRA,Eastern tropical Atlantic,Atlantic,Trades,-5,1,-4.997916666666669,1.0020833333333314,-5136,5136,wet,abyssopelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,4f639d9313d30a12dc36df28d8e1b642fa5d112ea90f464f7e430efc989d98d6,1ba490bf7340b4771f79475b73d4b14cba7af35492fab38b1d052c0a3a218024
FKLD,Southwest Atlantic shelves,Atlantic,Coastal,-58,-47,-57.99791666666667,-46.99791666666667,-3629,3629,wet,bathypelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,7f382d1c893c8e3b2ebe3df421a910ee7e92d61c9da0e58daf9e1d9d7d5785fd,176f44a7cb99df77b50eaf54a91ae83e16635bb82705daa5f7312021082e39e8
GFST,Gulf Stream,Atlantic,Westerlies,-68,37,-67.99791666666667,37.00208333333333,-4927,4927,wet,abyssopelagic,11,direct_measurement,multibeam direct measurement,8aa6d1d724d49661cd69c1284229e21bb23412a107c78e0f15a7b89c8a59999d,684165e2be8a1d96dccf1d347731cca0c8074a5eb1fb3e12ea6f4725c83800b5
GUIA,Guianas coast,Atlantic,Coastal,-50,7,-49.99791666666667,7.002083333333331,-4093,4093,wet,abyssopelagic,11,direct_measurement,multibeam direct measurement,d117c69011a1b7c6de49bef05c2d94e724f62feafec7311424473f7694b1a248,ab2cfbe4da68176a02d621dad23aa17fd8dd3755b972c992fb494647eacf9b29
GUIN,Guinea Current coast,Atlantic,Coastal,3,5,3.0020833333333314,5.002083333333331,-3399,3399,wet,bathypelagic,11,direct_measurement,multibeam direct measurement,3c8274896cea24da70bc8b2f6cd3193edbc0e3f36cbe8099eaf3af5d6f03158d,7f269f445c0c0583ed2838983b26909790ac0bc210c907cbfa3d98a8021f2ed2
HUMB,Humboldt Current coast,Pacific,Coastal,-82,-22,-81.99791666666667,-21.99791666666667,-3379,3379,wet,bathypelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,7aee75b0ad7dc2538acf9725bb8f953194a9fc4212d3b006ebc0904e56f151f4,c1316bd992625a48404874f2d29d4673a129079ff5100693bc556d8075b37161
IND E,Eastern India coast,Indian,Coastal,88,14,88.0020833333333,14.002083333333331,-2977,2977,wet,bathypelagic,11,direct_measurement,multibeam direct measurement,def3e6b9e3245a1740630355a9e3ff01c3d9cff0c83ab03001226985609166b4,72564982e224b4b557e97ff766428815a43f71e1df8af9b801b9dd4b8db65ed8
IND W,Western India coast,Indian,Coastal,70,12,70.00208333333333,12.002083333333331,-4229,4229,wet,abyssopelagic,40,indirect_or_interpolated,satellite-gravity-guided prediction,d6650f805aa9e871b5408b66a81c8b46656b185a1e56de63f5e53293f20bd72a,d22d107ce303f4e7e03604c2895c672b1cea5599898e6e559e49723403b8b5b5
