region_code,region,supported_cells,internal_neighbor_pairs,mean_cross_season_alignment,mean_maximum_seasonal_turn_degrees,mean_internal_direction_similarity,low_similarity_internal_fraction
TAW,Tasman Westerlies,13,17,0.5875781138512429,127.64960370775046,-0.08349741598335297,0.9411764705882353
MW,Mediterranean Westerlies,6,5,0.6451881553718869,100.21609766234938,-0.06735735644512095,1.0
AAP,Arctic–Atlantic Polar,30,39,0.8405910631781683,65.66804743255615,0.02804162292320622,0.6923076923076923
NPP,North Pacific Polar,9,8,0.7499423764550035,103.90492078522084,0.030703183398844654,0.75
NAW,North Atlantic Westerlies,31,44,0.5811936691349219,126.4418682251242,0.04636320890613006,0.8863636363636364
SEIC,Southeast Indian Coastal,19,26,0.6192288420622146,130.45166018132863,0.049328965443681295,0.9615384615384616
IT,Indian Trades,39,61,0.584620251441732,128.37376022149476,0.05026548356037721,0.819672131147541
NWAC,Northwest Atlantic Coastal,10,10,0.8031837655039006,75.1789874406547,0.09129985677758265,0.8
ARW,Arabian Westerlies,8,6,0.5596777509456531,130.1503647608263,0.14170922688266033,1.0
NPW,North Pacific Westerlies,64,94,0.6962122240071192,104.74026913789486,0.15320428770268396,0.7872340425531915
AIC,Afro-Asian Indian Coastal,36,42,0.6115203681055829,118.99626819495182,0.1604058976835576,0.8333333333333334
OCT,Oceanic California Trades,4,3,0.6011960730898975,139.02066494561083,0.18043999784720063,1.0
WPC,Western Pacific Coastal,24,32,0.7405338963767294,99.70538895871908,0.18183068843125502,0.71875
SWPC,Southwest Pacific Coastal,49,80,0.6868632702365721,105.90512926984779,0.19566664193575353,0.7375
WAC,Western Atlantic Coastal,43,61,0.8085072760453312,77.1103037413125,0.20612337345805642,0.6721311475409836
PT,Pacific Trades,136,229,0.7324492369468555,90.30660729404329,0.24510829939355316,0.5895196506550219
EPC,Eastern Pacific Coastal,49,66,0.7122778122461658,102.16994890553723,0.2520912476749034,0.6666666666666666
OAT,Open Atlantic Trades,52,81,0.7747371336440904,87.14863607343038,0.3391201131858917,0.5308641975308642
SW,Southern Westerlies,61,93,0.7989047231555846,80.76473076822927,0.3538369385592891,0.6236559139784946
EAC,Eastern Atlantic Coastal,27,25,0.7178777115549292,99.59545762766533,0.3574855753813581,0.64
ANP,Antarctic Polar,40,54,0.8381585574161902,74.20888787406047,0.39912372037671195,0.5555555555555556
CT,Caribbean Trades,9,9,0.749202525342572,85.06004714162123,0.43168940064899164,0.5555555555555556
