configuration,label,direction_similarity_threshold,components_at_least_5_cells,largest_component_cells,fraction_in_components_at_least_5
4N_ALL,4-neighbor · all seasons,0.0,7,560,0.8774703557312253
4N_ALL,4-neighbor · all seasons,0.1,14,356,0.8194993412384717
4N_ALL,4-neighbor · all seasons,0.2,16,155,0.7154150197628458
4N_ALL,4-neighbor · all seasons,0.3,20,100,0.6034255599472991
4N_ALL,4-neighbor · all seasons,0.4,18,67,0.48221343873517786
4N_ALL,4-neighbor · all seasons,0.5,19,52,0.3939393939393939
4N_ALL,4-neighbor · all seasons,0.6,15,48,0.2951251646903821
4N_ALL,4-neighbor · all seasons,0.7,14,41,0.22529644268774704
4N_ALL,4-neighbor · all seasons,0.8,13,36,0.17391304347826086
4N_ALL,4-neighbor · all seasons,0.9,8,23,0.09749670619235837
8N_ALL,8-neighbor · all seasons,0.0,2,734,0.9776021080368906
8N_ALL,8-neighbor · all seasons,0.1,3,711,0.9591567852437418
8N_ALL,8-neighbor · all seasons,0.2,8,521,0.9104084321475626
8N_ALL,8-neighbor · all seasons,0.3,9,478,0.8142292490118577
8N_ALL,8-neighbor · all seasons,0.4,11,339,0.7154150197628458
8N_ALL,8-neighbor · all seasons,0.5,19,96,0.5638998682476943
8N_ALL,8-neighbor · all seasons,0.6,14,52,0.44664031620553357
8N_ALL,8-neighbor · all seasons,0.7,18,46,0.35046113306982873
8N_ALL,8-neighbor · all seasons,0.8,14,41,0.2318840579710145
8N_ALL,8-neighbor · all seasons,0.9,8,28,0.10935441370223979
4N_NO_DJF,4-neighbor · omit DJF,0.0,9,458,0.8880105401844532
4N_NO_DJF,4-neighbor · omit DJF,0.1,16,214,0.8221343873517787
4N_NO_DJF,4-neighbor · omit DJF,0.2,17,199,0.7285902503293807
4N_NO_DJF,4-neighbor · omit DJF,0.3,21,73,0.621870882740448
4N_NO_DJF,4-neighbor · omit DJF,0.4,19,60,0.5098814229249012
4N_NO_DJF,4-neighbor · omit DJF,0.5,20,57,0.42424242424242425
4N_NO_DJF,4-neighbor · omit DJF,0.6,22,45,0.35177865612648224
4N_NO_DJF,4-neighbor · omit DJF,0.7,18,43,0.27009222661396576
4N_NO_DJF,4-neighbor · omit DJF,0.8,14,36,0.1976284584980237
4N_NO_DJF,4-neighbor · omit DJF,0.9,8,19,0.09354413702239789
4N_NO_MAM,4-neighbor · omit MAM,0.0,8,471,0.8853754940711462
4N_NO_MAM,4-neighbor · omit MAM,0.1,11,334,0.8102766798418972
4N_NO_MAM,4-neighbor · omit MAM,0.2,17,92,0.7338603425559947
4N_NO_MAM,4-neighbor · omit MAM,0.3,21,75,0.6284584980237155
4N_NO_MAM,4-neighbor · omit MAM,0.4,18,56,0.48353096179183136
4N_NO_MAM,4-neighbor · omit MAM,0.5,23,54,0.43346508563899866
4N_NO_MAM,4-neighbor · omit MAM,0.6,22,51,0.3675889328063241
4N_NO_MAM,4-neighbor · omit MAM,0.7,18,45,0.27009222661396576
4N_NO_MAM,4-neighbor · omit MAM,0.8,12,38,0.18050065876152832
4N_NO_MAM,4-neighbor · omit MAM,0.9,6,24,0.08168642951251646
4N_NO_JJA,4-neighbor · omit JJA,0.0,7,568,0.8682476943346509
4N_NO_JJA,4-neighbor · omit JJA,0.1,10,481,0.8260869565217391
4N_NO_JJA,4-neighbor · omit JJA,0.2,19,195,0.7444005270092227
4N_NO_JJA,4-neighbor · omit JJA,0.3,21,63,0.6403162055335968
4N_NO_JJA,4-neighbor · omit JJA,0.4,23,53,0.4993412384716733
4N_NO_JJA,4-neighbor · omit JJA,0.5,23,48,0.41238471673254284
4N_NO_JJA,4-neighbor · omit JJA,0.6,15,43,0.2951251646903821
4N_NO_JJA,4-neighbor · omit JJA,0.7,15,41,0.24769433465085638
4N_NO_JJA,4-neighbor · omit JJA,0.8,11,37,0.16996047430830039
4N_NO_JJA,4-neighbor · omit JJA,0.9,8,20,0.09749670619235837
4N_NO_SON,4-neighbor · omit SON,0.0,4,586,0.8735177865612648
4N_NO_SON,4-neighbor · omit SON,0.1,10,285,0.8168642951251647
4N_NO_SON,4-neighbor · omit SON,0.2,17,138,0.7285902503293807
4N_NO_SON,4-neighbor · omit SON,0.3,20,83,0.6258234519104084
4N_NO_SON,4-neighbor · omit SON,0.4,20,60,0.5046113306982872
4N_NO_SON,4-neighbor · omit SON,0.5,18,56,0.391304347826087
4N_NO_SON,4-neighbor · omit SON,0.6,19,48,0.3425559947299078
4N_NO_SON,4-neighbor · omit SON,0.7,15,47,0.27140974967061926
4N_NO_SON,4-neighbor · omit SON,0.8,12,38,0.18050065876152832
4N_NO_SON,4-neighbor · omit SON,0.9,8,34,0.11594202898550725
