direction_similarity_threshold,all_components,components_at_least_3_cells,components_at_least_5_cells,components_at_least_10_cells,largest_component_cells,largest_component_fraction,cells_in_components_at_least_5,fraction_in_components_at_least_5
0.0,69,13,7,4,560,0.7378129117259552,666,0.8774703557312253
0.1,114,19,14,8,356,0.46903820816864294,622,0.8194993412384717
0.2,171,30,16,10,155,0.20421607378129117,543,0.7154150197628458
0.3,249,37,20,13,100,0.13175230566534915,458,0.6034255599472991
0.4,324,39,18,12,67,0.08827404479578392,366,0.48221343873517786
0.5,404,33,19,11,52,0.06851119894598155,299,0.3939393939393939
0.6,467,31,15,11,48,0.06324110671936758,224,0.2951251646903821
0.7,524,29,14,7,41,0.05401844532279315,171,0.22529644268774704
0.8,582,24,13,3,36,0.04743083003952569,132,0.17391304347826086
0.9,655,16,8,3,23,0.030303030303030304,74,0.09749670619235837
