family,region_code,region,supported_cells,mean_cross_season_alignment,mean_maximum_seasonal_turn_degrees,mean_internal_direction_similarity,low_similarity_internal_fraction,incident_boundaries,screened_boundaries,provisional_boundaries,screened_neighbor_pairs,screened_weighted_orientation_margin,maximum_screened_cut_through_score,screened_crossed_boundaries,screened_followed_boundaries
POLAR,AAP,Arctic–Atlantic Polar,30,0.8405910631781683,65.66804743255615,0.02804162292320622,0.6923076923076923,3,1,1,8,-0.0535652163872527,0.3748573182017218,0,0
POLAR,NPP,North Pacific Polar,9,0.7499423764550035,103.90492078522084,0.030703183398844654,0.75,2,1,0,8,-0.09010149511119314,0.32375456212353154,0,0
POLAR,ANP,Antarctic Polar,40,0.8381585574161902,74.20888787406047,0.39912372037671195,0.5555555555555556,7,1,4,9,-0.07351899965283759,0.3490675928526864,0,0
PACIFIC,NPW,North Pacific Westerlies,64,0.6962122240071192,104.74026913789486,0.15320428770268396,0.7872340425531915,5,2,2,34,-0.035767594526429566,0.3613545577242473,0,0
PACIFIC,TAW,Tasman Westerlies,13,0.5875781138512429,127.64960370775046,-0.08349741598335297,0.9411764705882353,4,0,2,0,,,0,0
PACIFIC,PT,Pacific Trades,136,0.7324492369468555,90.30660729404329,0.24510829939355316,0.5895196506550219,7,4,1,68,0.014519325409074751,0.4669415188352899,0,0
PACIFIC,OCT,Oceanic California Trades,4,0.6011960730898975,139.02066494561083,0.18043999784720063,1.0,2,0,1,0,,,0,0
PACIFIC,EPC,Eastern Pacific Coastal,49,0.7122778122461658,102.16994890553723,0.2520912476749034,0.6666666666666666,7,1,3,14,0.055770831729068326,0.44744153440051043,0,0
PACIFIC,WPC,Western Pacific Coastal,24,0.7405338963767294,99.70538895871908,0.18183068843125502,0.71875,4,0,1,0,,,0,0
PACIFIC,SWPC,Southwest Pacific Coastal,49,0.6868632702365721,105.90512926984779,0.19566664193575353,0.7375,3,1,2,19,0.07176209123656446,0.4669415188352899,0,0
ATLANTIC,NAW,North Atlantic Westerlies,31,0.5811936691349219,126.4418682251242,0.04636320890613006,0.8863636363636364,6,0,5,0,,,0,0
ATLANTIC,MW,Mediterranean Westerlies,6,0.6451881553718869,100.21609766234938,-0.06735735644512095,1.0,0,0,0,0,,,0,0
ATLANTIC,OAT,Open Atlantic Trades,52,0.7747371336440904,87.14863607343038,0.3391201131858917,0.5308641975308642,4,2,2,26,0.07030912041695297,0.5040092938317524,1,0
ATLANTIC,CT,Caribbean Trades,9,0.749202525342572,85.06004714162123,0.43168940064899164,0.5555555555555556,3,0,2,0,,,0,0
ATLANTIC,NWAC,Northwest Atlantic Coastal,10,0.8031837655039006,75.1789874406547,0.09129985677758265,0.8,2,0,1,0,,,0,0
ATLANTIC,WAC,Western Atlantic Coastal,43,0.8085072760453312,77.1103037413125,0.20612337345805642,0.6721311475409836,5,1,1,13,0.15401312341462664,0.5040092938317524,1,0
ATLANTIC,EAC,Eastern Atlantic Coastal,27,0.7178777115549292,99.59545762766533,0.3574855753813581,0.64,4,2,2,21,-0.028697866887970977,0.3748573182017218,0,0
INDIAN,ARW,Arabian Westerlies,8,0.5596777509456531,130.1503647608263,0.14170922688266033,1.0,1,0,1,0,,,0,0
INDIAN,IT,Indian Trades,39,0.584620251441732,128.37376022149476,0.05026548356037721,0.819672131147541,3,2,1,24,-0.03344590542271356,0.3800043133671553,0,0
INDIAN,AIC,Afro-Asian Indian Coastal,36,0.6115203681055829,118.99626819495182,0.1604058976835576,0.8333333333333334,4,1,2,13,-0.03676884994405272,0.3800043133671553,0,0
INDIAN,SEIC,Southeast Indian Coastal,19,0.6192288420622146,130.45166018132863,0.049328965443681295,0.9615384615384616,6,0,2,0,,,0,0
SOUTHERN,SW,Southern Westerlies,61,0.7989047231555846,80.76473076822927,0.3538369385592891,0.6236559139784946,6,1,4,11,-0.029518789170221826,0.36877715741821426,0,0
