region_a,region_b,neighbor_pairs,seasonal_pair_samples,mean_normal_flow_fraction,mean_tangential_flow_fraction,mean_direction_similarity,mean_relative_speed_contrast,cut_through_score,along_border_score,orientation_margin,orientation_class,neighbor_score_mean,neighbor_score_standard_deviation,support_class,cut_through_DJF,cut_through_MAM,cut_through_JJA,cut_through_SON,seasonal_cut_through_floor,seasonal_cut_through_ceiling,seasonal_cut_through_range
CT,WAC,1,4,0.9807022801433838,0.14926566799637697,0.49173045148226385,0.6234609037049843,0.7314717275639877,0.11133207115551856,0.6201396564084691,crossed,0.7314717275639877,,sparse,0.8321528283946242,0.37173820101390864,0.7926917341311825,0.9313294792884185,0.37173820101390864,0.9313294792884185,0.5595912782745098
ANP,EPC,6,24,0.844613661481958,0.4319897728696112,0.5365262689762805,0.5986347600296645,0.6488855390016341,0.33188181697162733,0.3170037220300068,crossed,0.6495337252932205,0.1282900233365226,provisional,0.5253820706321509,0.6158274333429447,0.7389779203995732,0.6882147862736837,0.5253820706321509,0.7389779203995732,0.2135958497674223
ANP,WAC,3,12,0.9089984596072093,0.3481078060380431,0.33798884923312794,0.6344276439324416,0.608114901462268,0.2328821814049551,0.3752327200573129,crossed,0.603187480371524,0.20839358549831802,provisional,0.6880423397453583,0.46486879130635833,0.6884485588958252,0.5923302512420359,0.46486879130635833,0.6884485588958252,0.2235797675894669
EPC,WAC,2,8,0.7265392029609111,0.521364760049501,0.6032883211547397,0.8271343132761793,0.582425909484151,0.41794901542450413,0.16447689405964683,crossed,0.585122417624947,0.17559876579943823,sparse,0.4235183463872137,0.39026286512693886,0.8582057993978357,0.6617875672727371,0.39026286512693886,0.8582057993978357,0.46794293427089684
OAT,WAC,13,52,0.7651980734254737,0.5313719381509668,0.3173302739132947,0.6632259547866322,0.5040092938317524,0.3499961704171258,0.15401312341462664,crossed,0.5083977762863919,0.21104036990970737,screened,0.4892915189240158,0.4851925983459877,0.518442120298742,0.5206795216739019,0.4851925983459877,0.5206795216739019,0.035486923327914144
PT,SEIC,1,4,0.8910866242055561,0.43211859131411223,0.07986790210324166,0.7867238465294653,0.4811279217365567,0.2333154983310892,0.24781242340546752,crossed,0.4811279217365567,,sparse,0.6571948707278703,0.042337619266928486,0.607364913950357,0.5700675394543616,0.042337619266928486,0.6571948707278703,0.6148572514609418
PT,SWPC,19,76,0.7072372683230435,0.5985452301811117,0.32046638306398145,0.7011319214759876,0.4669415188352899,0.39517942759872543,0.07176209123656446,oblique_or_mixed,0.4845247700805069,0.2329104949960212,screened,0.4128429758485616,0.46674570150876715,0.4894458757979219,0.494818914679385,0.4128429758485616,0.494818914679385,0.08197593883082338
ANP,SWPC,4,16,0.6160228816416633,0.6706935386660685,0.48089490107832966,1.2736341718789927,0.4561325721853593,0.4966133207983812,-0.04048074861302192,oblique_or_mixed,0.4066635606494805,0.1825711656460991,provisional,0.4463467046479553,0.399541794351635,0.43183556794842115,0.5522091035290466,0.399541794351635,0.5522091035290466,0.15266730917741161
NPW,OCT,6,24,0.7266924147115308,0.5358944787440052,0.2343545293532455,0.6156196895946136,0.4484980367729125,0.33074188854652964,0.11775614822638286,crossed,0.44766850972172173,0.19604643706870845,provisional,0.4655178244399817,0.5719939094533449,0.38023206359668293,0.38413382183213896,0.38023206359668293,0.5719939094533449,0.191761845856662
EPC,PT,14,56,0.6839458543678566,0.5986962156483535,0.30841215439214126,0.6751049004546019,0.44744153440051043,0.3916707026714421,0.055770831729068326,oblique_or_mixed,0.45580900168025584,0.27190399517778685,screened,0.5598389608519689,0.39722410836104516,0.4388008738646315,0.39635674183048236,0.39635674183048236,0.5598389608519689,0.16348221902148657
