region_a,region_b,neighbor_pairs,seasonal_pair_samples,mean_normal_flow_fraction,mean_tangential_flow_fraction,mean_direction_similarity,mean_relative_speed_contrast,cut_through_score,along_border_score,orientation_margin,orientation_class,neighbor_score_mean,neighbor_score_standard_deviation,support_class,cut_through_DJF,cut_through_MAM,cut_through_JJA,cut_through_SON,seasonal_cut_through_floor,seasonal_cut_through_ceiling,seasonal_cut_through_range
ANP,SEIC,2,8,0.8675419431538607,0.404942815006304,0.02519835881872101,1.0150896067136403,0.44470128816387106,0.20757335467994792,0.23712793348392314,crossed,0.4383319404028754,0.2147769816938471,sparse,0.51969542591519,0.4460759482751814,0.2923245513327534,0.49391054654404803,0.2923245513327534,0.51969542591519,0.2273708745824366
PT,WPC,4,16,0.7639398476759487,0.5606198390630055,0.16092147934410486,0.5735423205608441,0.4434370890469363,0.3254178064573392,0.1180192825895971,crossed,0.47232086238203824,0.31932734239030824,provisional,0.2991814872616652,0.35198526255943874,0.4910743852254385,0.6089536414865532,0.2991814872616652,0.6089536414865532,0.30977215422488796
SEIC,SW,6,24,0.5865067470885325,0.7070425431126782,0.46565558565633475,0.7789502632301688,0.4298084449477174,0.5181404263048783,-0.08833198135716092,oblique_or_mixed,0.45317942214046436,0.220525374901152,provisional,0.3730518671083068,0.5112804905693782,0.504342867458146,0.3322697278493681,0.3322697278493681,0.5112804905693782,0.1790107627200101
NAW,OAT,6,24,0.636761399887524,0.6573657301066357,0.3076902717323063,0.6349316988055612,0.41634334402378,0.42981538511532613,-0.01347204109154615,oblique_or_mixed,0.41122643940376474,0.13966843255113204,provisional,0.27200476766608783,0.5271535340730339,0.6736685367139191,0.2485863676186973,0.2485863676186973,0.6736685367139191,0.42508216909522184
AIC,SW,6,24,0.7408907735580619,0.5381594920246813,0.09268543700873082,0.8648972681790674,0.40478027934051375,0.2940195198616927,0.11076075947882102,crossed,0.3976670265989563,0.07505963900702751,provisional,0.3770361915890266,0.44277672369087556,0.23625418270063975,0.5795283074798018,0.23625418270063975,0.5795283074798018,0.343274124779162
ANP,SW,2,8,0.8158936229463549,0.4179532639870394,-0.010532266340366386,0.42343666918159517,0.4036502070020387,0.20677563444645122,0.19687457255558746,crossed,0.4281607120392226,0.2857576085440308,sparse,0.6456253600672475,0.3019748746922481,0.23474874476238897,0.45889623771240795,0.23474874476238897,0.6456253600672475,0.41087661530485853
AIC,ARW,6,24,0.6926188336744193,0.5602715105983258,0.13466696475242046,0.5442858287303667,0.39294585486785744,0.3178607871839279,0.07508506768392953,oblique_or_mixed,0.38917885472522545,0.156031203989685,provisional,0.28606562401283325,0.43398883066654004,0.603196747156388,0.2524632466633951,0.2524632466633951,0.603196747156388,0.35073350049299296
EAC,NAW,7,28,0.5903542770569743,0.7141662066545698,0.32338347924372407,0.7381270086501915,0.390632548579036,0.47255787966040846,-0.08192533108137245,oblique_or_mixed,0.39464951359265743,0.16464689368840585,provisional,0.47708773239481206,0.3642044793750671,0.3185939151001721,0.3724500248796838,0.3185939151001721,0.47708773239481206,0.15849381729463996
PT,TAW,1,4,0.7629016744895142,0.5784753393172908,0.00517953569154922,0.666232644534536,0.38342657547083764,0.29073578649198284,0.0926907889788548,oblique_or_mixed,0.38342657547083764,,sparse,0.9675563619284933,0.64206674247749,0.0012459669385580482,0.020918219736552255,0.0012459669385580482,0.9675563619284933,0.9663103949899352
AIC,IT,13,52,0.6200111577970101,0.6800028379510467,0.22579830568651668,0.6921518872577754,0.3800043133671553,0.416773163311208,-0.03676884994405272,oblique_or_mixed,0.37862737501637417,0.1455851493830837,screened,0.4715867710920715,0.28697017579859935,0.3839773499339851,0.3761305589294043,0.28697017579859935,0.4715867710920715,0.18461659529347213
AAP,EAC,8,32,0.6042540123457601,0.6905988570441066,0.24072760972325896,0.8637141899574541,0.3748573182017218,0.4284225345889745,-0.0535652163872527,oblique_or_mixed,0.33596080481098417,0.205133196454899,screened,0.48126343154156465,0.2767400455291892,0.46783869901477776,0.2967339955093511,0.2767400455291892,0.48126343154156465,0.20452338601237546
OAT,SW,4,16,0.4774331337859999,0.7904435823565451,0.567508988413177,0.7997316509590319,0.37419036428791286,0.6195137100886979,-0.24532334580078508,followed,0.3730665606934445,0.2728763991132952,provisional,0.3708332745553248,0.33968524905471315,0.42685596992229596,0.35855158653364616,0.33968524905471315,0.42685596992229596,0.08717072086758282
IT,SEIC,5,20,0.6851465672353223,0.58442780937295,0.08336417125821517,0.5798176619991579,0.37113162150165296,0.3165740746807901,0.05455754682086289,oblique_or_mixed,0.35661694191978993,0.10947054466946202,provisional,0.37516456742827836,0.5748697842152201,0.2970383446364403,0.25813874818102045,0.25813874818102045,0.5748697842152201,0.3167310360341996
NPW,WPC,1,4,0.617057203863936,0.5857833968476849,0.1973987681670916,0.6466395256773665,0.3694317678976535,0.35070815889907625,0.018723608998577224,oblique_or_mixed,0.3694317678976535,,sparse,0.4314051014364442,0.10156643238521208,0.9679119595564736,0.029392357320170343,0.029392357320170343,0.9679119595564736,0.9385196022363033
IT,SW,11,44,0.6058049191650237,0.6542966094104574,0.2174782533179064,0.7604563399003438,0.36877715741821426,0.3982959465884361,-0.029518789170221826,oblique_or_mixed,0.39336343912815575,0.25916372906990204,screened,0.38250601549182944,0.4489465843348547,0.3586287962216565,0.290160888070722,0.290160888070722,0.4489465843348547,0.1587856962641327
EAC,OAT,13,52,0.6123134876778507,0.6349404555935642,0.18397503639172497,0.6631245109873254,0.3624819419282636,0.3758768245089843,-0.01339488258072069,oblique_or_mixed,0.3458651825895182,0.2321888911864737,screened,0.28394492862049314,0.32477439930456137,0.45022502310860635,0.39246263808760573,0.28394492862049314,0.45022502310860635,0.1662800944881132
NPW,PT,26,104,0.6120756981926729,0.6443423963103334,0.18075120051735133,0.5656260856703577,0.3613545577242473,0.3804040289938265,-0.019049471269579232,oblique_or_mixed,0.38090697435245946,0.24381700643200185,screened,0.38743181812281857,0.3438529943507673,0.3415475597684536,0.3715118146094051,0.3415475597684536,0.38743181812281857,0.04588425835436499
ANP,PT,9,36,0.5698898743600515,0.6899174401756899,0.22503525174812467,0.690458122763888,0.3490675928526864,0.422586592505524,-0.07351899965283759,oblique_or_mixed,0.3507634695889051,0.206711170456007,screened,0.3527786860828845,0.3100000733788871,0.38782476779939584,0.323620536033388,0.3100000733788871,0.38782476779939584,0.07782469442050877
EPC,NPW,7,28,0.6609596743168975,0.6250976729071969,-0.006962505823520468,0.6895124357150207,0.328178869367677,0.3103727133596557,0.017806156008021268,oblique_or_mixed,0.3176310530071095,0.11919703253352142,provisional,0.2044563172310375,0.5235190672548546,0.30078139460157804,0.31815760443622576,0.2044563172310375,0.5235190672548546,0.3190627500238171
EPC,NPP,1,4,0.7166789214524353,0.6342712840349672,-0.0951267062378291,0.22506162948992947,0.3242518081122926,0.28696757296174114,0.03728423515055146,oblique_or_mixed,0.3242518081122926,,sparse,0.00012905763912141884,0.13114312939675893,0.3360711937593221,0.9744070862872167,0.00012905763912141884,0.9744070862872167,0.9742780286480953
NPP,NPW,8,32,0.5473566599453601,0.6996870335983753,0.1829747797564036,0.6140931194604781,0.32375456212353154,0.4138560572347247,-0.09010149511119314,oblique_or_mixed,0.33131992805960614,0.22977682369098035,screened,0.2739232665908939,0.2900899678410509,0.28748190586353817,0.45201649624452833,0.2739232665908939,0.45201649624452833,0.17809322965363444
SWPC,TAW,7,28,0.6811723926501825,0.6024499324741585,-0.06708134668453854,0.7151147982027827,0.3177392156134395,0.2810183898468913,0.03672082576654817,oblique_or_mixed,0.30677904655331856,0.18947781890993315,provisional,0.28031653297700215,0.40936050570414306,0.30899439219227776,0.23062775626122275,0.23062775626122275,0.40936050570414306,0.1787327494429203
AAP,NAW,5,20,0.7386641052838276,0.5423887409888373,-0.17485419253637854,0.7207709597666598,0.3047527947994087,0.22377489782120558,0.08097789697820312,oblique_or_mixed,0.3070139028193056,0.20913090644395618,provisional,0.37773877282213414,0.18509034371532587,0.3580687411904184,0.3094345209701258,0.18509034371532587,0.37773877282213414,0.19264842910680827
CT,EPC,4,16,0.6935449873964145,0.6066742085387186,-0.12285195503782678,0.8360472892265134,0.30417081489404,0.2660715479743554,0.03809926691968463,oblique_or_mixed,0.3066242025996123,0.11429697848594836,provisional,0.21417428266127694,0.22818372405908594,0.326449913307495,0.4640115150885841,0.21417428266127694,0.4640115150885841,0.24983723242730718
NAW,WAC,2,8,0.655927448441655,0.6192180969976138,-0.07863996888195005,0.9359266989435688,0.3021726671536932,0.28526140255929056,0.01691126459440262,oblique_or_mixed,0.3183055596304976,0.2356328645227678,sparse,0.5250834790737422,0.20568334993529264,0.15929561793911384,0.2686698824521374,0.15929561793911384,0.5250834790737422,0.36578786113462836
ANP,TAW,6,24,0.5054724926515174,0.7602809214589986,0.149037950518847,1.1994834496868325,0.29040353849997624,0.43679581590591415,-0.1463922774059379,followed,0.292299235208294,0.16673890439949512,provisional,0.3062879167571351,0.1765888896017845,0.3163417817548557,0.35590764282809445,0.1765888896017845,0.35590764282809445,0.17931875322630994
CT,NAW,4,16,0.5087477091229458,0.7694825590061156,0.13627891585232133,0.7691801845646693,0.2890396476822865,0.43717340395736953,-0.14813375627508302,followed,0.3021467640982009,0.14320421363670693,provisional,0.1785758865960632,0.466942876385431,0.24736067750360724,0.21687946725599827,0.1785758865960632,0.466942876385431,0.2883669897893678
AIC,WPC,2,8,0.7038469899103552,0.6100570679530601,-0.24119890219148762,0.6450965968393609,0.2670399343165972,0.23145598644431212,0.03558394787228511,oblique_or_mixed,0.2659984468807497,0.023615465013698905,sparse,0.055855033042883154,0.6457147397773371,0.05298395010978229,0.22684530381445914,0.05298395010978229,0.6457147397773371,0.5927307896675548
EAC,SW,4,16,0.4931333607138474,0.7464769142184287,0.03391197673895005,0.8634239459025133,0.25492824388578783,0.3858957109847836,-0.13096746709899576,followed,0.2439564595588511,0.14753024343571391,provisional,0.32586282523088306,0.23028663413444894,0.26007040118864133,0.19081522382147945,0.19081522382147945,0.32586282523088306,0.1350476014094036
AAP,NWAC,1,4,0.5377544360087532,0.8414077327751349,-0.0729880849503304,1.4969738488011242,0.24925238477546466,0.38999749684873924,-0.1407451120732746,followed,0.24925238477546466,,sparse,0.13617508002769402,0.2278677186808076,0.2985286529440163,0.3136646561615569,0.13617508002769402,0.3136646561615569,0.1774895761338629
SEIC,TAW,1,4,0.35340109667810066,0.7819776249819884,0.33326702733646196,0.7165855130482001,0.23558901481272843,0.5212924917516811,-0.2857034769389527,followed,0.23558901481272843,,sparse,0.04132131395342113,0.9859513220964453,0.20778310506109657,0.03370750718790283,0.03370750718790283,0.9859513220964453,0.9522438149085425
SEIC,WPC,2,8,0.6885248878995804,0.5546766512904008,-0.38319228051518983,0.6868223245245345,0.2123437329569374,0.1710644201669517,0.0412793127899857,oblique_or_mixed,0.1973658870524661,0.06341880585967599,sparse,0.08887996530394993,0.5716787515028368,0.17487461283578545,0.05253569657036676,0.05253569657036676,0.5716787515028368,0.51914305493247
NAW,NWAC,7,28,0.6067132651816063,0.6809144729056626,-0.3419582921488789,1.061455382987271,0.19962131659801718,0.2240350613256941,-0.024413744727676906,oblique_or_mixed,0.20532637291002814,0.16864585538738203,provisional,0.35780255476286554,0.20269837906082497,0.15608988790288303,0.1140056230295078,0.1140056230295078,0.35780255476286554,0.24379693173335776
EPC,OCT,2,8,0.48217824944560683,0.8526923581590229,-0.41841416982243923,0.9689160063484545,0.1402140187486931,0.24795689650298863,-0.10774287775429553,followed,0.14045201119800316,0.03454783819334517,sparse,0.1944048884355403,0.21320078246906168,0.060745746730257434,0.03617706942271022,0.03617706942271022,0.21320078246906168,0.17702371304635145
